GO_Term,2017_count,2025_count,absolute_change,percentage_change,2017_percentage,2025_percentage
GO:0044498 (envenomation resulting in modulation of blood pressure in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0070026 (nitric oxide binding),0,1,1,inf,0.0,0.003540574989378275
GO:0140911 (pore-forming activity),0,1,1,inf,0.0,0.003540574989378275
GO:0050819 (negative regulation of coagulation),0,1,1,inf,0.0,0.003540574989378275
GO:0061760 (antifungal innate immune response),0,1,1,inf,0.0,0.003540574989378275
GO:1902572 (negative regulation of serine-type peptidase activity),0,1,1,inf,0.0,0.003540574989378275
GO:0098542 (defense response to other organism),0,1,1,inf,0.0,0.003540574989378275
GO:0050431 (transforming growth factor beta binding),0,1,1,inf,0.0,0.003540574989378275
GO:0052689 (carboxylic ester hydrolase activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0000014 (single-stranded DNA endodeoxyribonuclease activity),0,1,1,inf,0.0,0.003540574989378275
GO:0033296 (rhamnose binding),0,1,1,inf,0.0,0.003540574989378275
GO:0030430 (host cell cytoplasm),0,1,1,inf,0.0,0.003540574989378275
GO:0019732 (antifungal humoral response),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0005518 (collagen binding),0,1,1,inf,0.0,0.003540574989378275
GO:0005516 (calmodulin binding),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0005272 (sodium channel activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0030145 (manganese ion binding),0,1,1,inf,0.0,0.003540574989378275
GO:0030168 (platelet activation),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0030193 (regulation of blood coagulation),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0030194 (positive regulation of blood coagulation),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0030308 (negative regulation of cell growth),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0030395 (lactose binding),0,1,1,inf,0.0,0.003540574989378275
GO:0005267 (potassium channel activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0016339 (calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules),0,1,1,inf,0.0,0.003540574989378275
GO:0030547 (signaling receptor inhibitor activity),0,1,1,inf,0.0,0.003540574989378275
GO:0030549 (acetylcholine receptor activator activity),0,1,1,inf,0.0,0.003540574989378275
GO:0005245 (voltage-gated calcium channel activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0031628 (opioid receptor binding),0,1,1,inf,0.0,0.003540574989378275
GO:0031638 (zymogen activation),0,1,1,inf,0.0,0.003540574989378275
GO:0004930 (G protein-coupled receptor activity),0,1,1,inf,0.0,0.003540574989378275
GO:0031713 (B2 bradykinin receptor binding),2,1,-1,-50.0,0.00998851320980872,0.003540574989378275
GO:0006801 (superoxide metabolic process),0,1,1,inf,0.0,0.003540574989378275
GO:0031859 (platelet activating factor receptor binding),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0004860 (protein kinase inhibitor activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0016485 (protein processing),0,1,1,inf,0.0,0.003540574989378275
GO:0016209 (antioxidant activity),0,1,1,inf,0.0,0.003540574989378275
GO:0004857 (enzyme inhibitor activity),0,1,1,inf,0.0,0.003540574989378275
GO:0005993 (trehalose catabolic process),0,1,1,inf,0.0,0.003540574989378275
GO:0006826 (iron ion transport),0,1,1,inf,0.0,0.003540574989378275
GO:0006974 (DNA damage response),0,1,1,inf,0.0,0.003540574989378275
GO:0006979 (response to oxidative stress),0,1,1,inf,0.0,0.003540574989378275
GO:0007156 (homophilic cell adhesion via plasma membrane adhesion molecules),0,1,1,inf,0.0,0.003540574989378275
GO:0007160 (cell-matrix adhesion),0,1,1,inf,0.0,0.003540574989378275
GO:0006629 (lipid metabolic process),0,1,1,inf,0.0,0.003540574989378275
GO:0007166 (cell surface receptor signaling pathway),0,1,1,inf,0.0,0.003540574989378275
GO:0007179 (transforming growth factor beta receptor signaling pathway),0,1,1,inf,0.0,0.003540574989378275
GO:0007186 (G protein-coupled receptor signaling pathway),0,1,1,inf,0.0,0.003540574989378275
GO:0007268 (chemical synaptic transmission),0,1,1,inf,0.0,0.003540574989378275
GO:0007600 (sensory perception),0,1,1,inf,0.0,0.003540574989378275
GO:0005534 (galactose binding),0,1,1,inf,0.0,0.003540574989378275
GO:0008154 (actin polymerization or depolymerization),0,1,1,inf,0.0,0.003540574989378275
GO:0008379 (thioredoxin peroxidase activity),0,1,1,inf,0.0,0.003540574989378275
GO:0005769 (early endosome),0,1,1,inf,0.0,0.003540574989378275
GO:0008983 (protein-glutamate O-methyltransferase activity),0,1,1,inf,0.0,0.003540574989378275
GO:0005743 (mitochondrial inner membrane),0,1,1,inf,0.0,0.003540574989378275
GO:0010181 (FMN binding),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0010951 (negative regulation of endopeptidase activity),0,1,1,inf,0.0,0.003540574989378275
GO:0005604 (basement membrane),0,1,1,inf,0.0,0.003540574989378275
"GO:0005546 (phosphatidylinositol-4,5-bisphosphate binding)",0,1,1,inf,0.0,0.003540574989378275
GO:0015629 (actin cytoskeleton),0,1,1,inf,0.0,0.003540574989378275
GO:0032259 (methylation),0,1,1,inf,0.0,0.003540574989378275
GO:0031731 (CCR6 chemokine receptor binding),0,1,1,inf,0.0,0.003540574989378275
GO:0033484 (intracellular nitric oxide homeostasis),0,1,1,inf,0.0,0.003540574989378275
GO:0003073 (regulation of systemic arterial blood pressure),0,1,1,inf,0.0,0.003540574989378275
GO:0004035 (alkaline phosphatase activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0003993 (acid phosphatase activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0003948 (N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0042744 (hydrogen peroxide catabolic process),0,1,1,inf,0.0,0.003540574989378275
GO:0042832 (defense response to protozoan),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0003796 (lysozyme activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0043025 (neuronal cell body),0,1,1,inf,0.0,0.003540574989378275
GO:0003254 (regulation of membrane depolarization),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0043083 (synaptic cleft),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0043267 (negative regulation of potassium ion transport),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0004185 (serine-type carboxypeptidase activity),0,1,1,inf,0.0,0.003540574989378275
GO:0002687 (positive regulation of leukocyte migration),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0002353 (plasma kallikrein-kinin cascade),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0001897 (symbiont-mediated cytolysis of host cell),0,1,1,inf,0.0,0.003540574989378275
GO:0001503 (ossification),0,1,1,inf,0.0,0.003540574989378275
GO:0043679 (axon terminus),0,1,1,inf,0.0,0.003540574989378275
GO:0044002 (acquisition of nutrients from host),0,1,1,inf,0.0,0.003540574989378275
GO:0000302 (response to reactive oxygen species),0,1,1,inf,0.0,0.003540574989378275
GO:0044325 (transmembrane transporter binding),0,1,1,inf,0.0,0.003540574989378275
GO:0044360 (modulation of voltage-gated potassium channel activity in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0004175 (endopeptidase activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0042755 (eating behavior),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0006695 (cholesterol biosynthetic process),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0004556 (alpha-amylase activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0033906 (hyaluronoglucuronidase activity),0,1,1,inf,0.0,0.003540574989378275
GO:0035896 (positive regulation of mast cell degranulation in another organism),0,1,1,inf,0.0,0.003540574989378275
GO:0034638 (phosphatidylcholine catabolic process),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0034776 (response to histamine),0,1,1,inf,0.0,0.003540574989378275
GO:0004771 (sterol ester esterase activity),0,1,1,inf,0.0,0.003540574989378275
"GO:0004555 (alpha,alpha-trehalase activity)",1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0004531 (deoxyribonuclease II activity),1,1,0,0.0,0.00499425660490436,0.003540574989378275
GO:0033554 (cellular response to stress),0,1,1,inf,0.0,0.003540574989378275
GO:0004521 (RNA endonuclease activity),0,1,1,inf,0.0,0.003540574989378275
GO:0034220 (monoatomic ion transmembrane transport),0,1,1,inf,0.0,0.003540574989378275
GO:2000272 (negative regulation of receptor activity),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0051920 (peroxiredoxin activity),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0000272 (polysaccharide catabolic process),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0052331 (hemolysis in other organism involved in symbiotic interaction),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0052740 (1-acyl-2-lysophosphatidylserine acylhydrolase activity),20,0,-20,-100.0,0.09988513209808719,0.0
GO:1905655 (negative regulation of artery smooth muscle contraction),2,0,-2,-100.0,0.00998851320980872,0.0
GO:1905152 (positive regulation of voltage-gated sodium channel activity),1,0,-1,-100.0,0.00499425660490436,0.0
GO:1905150 (regulation of voltage-gated sodium channel activity),2,0,-2,-100.0,0.00998851320980872,0.0
GO:1904349 (positive regulation of small intestine smooth muscle contraction),2,0,-2,-100.0,0.00998851320980872,0.0
GO:1904320 (positive regulation of smooth muscle contraction involved in micturition),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0070265 (necrotic cell death),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0000771 (agglutination involved in conjugation),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0005975 (carbohydrate metabolic process),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0004630 (phospholipase D activity),214,0,-214,-100.0,1.068770913449533,0.0
GO:0005102 (receptor binding),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0004601 (peroxidase activity),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0072556 (other organism presynaptic membrane),307,0,-307,-100.0,1.5332367777056386,0.0
GO:0070474 (positive regulation of uterine smooth muscle contraction),2,0,-2,-100.0,0.00998851320980872,0.0
"GO:0102567 (phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine))",428,0,-428,-100.0,2.137541826899066,0.0
"GO:0102568 (phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine))",428,0,-428,-100.0,2.137541826899066,0.0
GO:0103025 (alpha-amylase activity (releasing maltohexaose)),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0070290 (N-acylphosphatidylethanolamine-specific phospholipase D activity),214,0,-214,-100.0,1.068770913449533,0.0
GO:0004771 (sterol esterase activity),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0004528 (phosphodiesterase I activity),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0055114 (oxidation-reduction process),3,0,-3,-100.0,0.01498276981471308,0.0
GO:0044361 (negative regulation of voltage-gated potassium channel activity in other organism),5,0,-5,-100.0,0.024971283024521798,0.0
GO:0006811 (ion transport),58,0,-58,-100.0,0.2896668830844529,0.0
GO:0051715 (cytolysis in other organism),9,0,-9,-100.0,0.04494830944413924,0.0
GO:0035792 (other organism postsynaptic membrane),554,0,-554,-100.0,2.7668181591170153,0.0
GO:0035806 (modulation of blood coagulation in other organism),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0035807 (positive regulation of blood coagulation in other organism),14,0,-14,-100.0,0.06991959246866104,0.0
GO:0035810 (positive regulation of urine volume),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0035821 (modification of morphology or physiology of other organism),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0035893 (negative regulation of platelet aggregation in other organism),6,0,-6,-100.0,0.02996553962942616,0.0
GO:0035896 (positive regulation of mast cell degranulation in other organism),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0035899 (negative regulation of blood coagulation in other organism),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0042135 (neurotransmitter catabolic process),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0044493 (envenomation resulting in negative regulation of voltage-gated sodium channel activity in other organism),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0042629 (mast cell granule),59,0,-59,-100.0,0.29466113968935725,0.0
GO:0044487 (envenomation resulting in modulation of transmission of nerve impulse in other organism),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0044485 (envenomation resulting in fibrinogenolysis in other organism),8,0,-8,-100.0,0.03995405283923488,0.0
GO:0044484 (envenomation resulting in fibrinolysis in other organism),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0043303 (mast cell degranulation),59,0,-59,-100.0,0.29466113968935725,0.0
GO:0044481 (envenomation resulting in proteolysis in other organism),8,0,-8,-100.0,0.03995405283923488,0.0
GO:0043655 (extracellular space of host),14,0,-14,-100.0,0.06991959246866104,0.0
GO:0044478 (envenomation resulting in positive regulation of platelet aggregation in other organism),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0044477 (envenomation resulting in negative regulation of platelet aggregation in other organism),10,0,-10,-100.0,0.049942566049043596,0.0
GO:0044476 (envenomation resulting in negative regulation of low voltage-gated calcium channel activity in other organism),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0044164 (host cell cytosol),3,0,-3,-100.0,0.01498276981471308,0.0
GO:0044475 (envenomation resulting in negative regulation of high voltage-gated calcium channel activity in other organism),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0044179 (hemolysis in other organism),368,0,-368,-100.0,1.8378864306048046,0.0
GO:0044325 (ion channel binding),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0044469 (envenomation resulting in positive regulation of blood coagulation in other organism),15,0,-15,-100.0,0.07491384907356541,0.0
GO:0044358 (envenomation resulting in hemorrhagic damage to other organism),6,0,-6,-100.0,0.02996553962942616,0.0
GO:0044465 (modulation of sensory perception of pain in other organism),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0044522 (envenomation resulting in myocyte killing in other organism),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0035529 (NADH pyrophosphatase activity),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0044532 (modulation of apoptotic process in other organism),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0019836 (hemolysis by symbiont of host erythrocytes),4,0,-4,-100.0,0.01997702641961744,0.0
GO:0007049 (cell cycle),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0007162 (negative regulation of cell adhesion),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0007599 (hemostasis),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0050880 (regulation of blood vessel size),17,0,-17,-100.0,0.08490236228337411,0.0
GO:0008152 (metabolic process),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0008168 (methyltransferase activity),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0008970 (phosphatidylcholine 1-acylhydrolase activity),20,0,-20,-100.0,0.09988513209808719,0.0
GO:0009405 (pathogenesis),101,0,-101,-100.0,0.5044199170953403,0.0
GO:0044398 (envenomation resulting in induction of edema in other organism),3,0,-3,-100.0,0.01498276981471308,0.0
GO:0050290 (sphingomyelin phosphodiesterase D activity),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0016021 (integral component of membrane),93,0,-93,-100.0,0.4644658642561055,0.0
GO:0019835 (cytolysis),115,0,-115,-100.0,0.5743395095640014,0.0
GO:0030054 (cell junction),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0044551 (envenomation resulting in vasodilation in other organism),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0046983 (protein dimerization activity),3,0,-3,-100.0,0.01498276981471308,0.0
GO:0045919 (positive regulation of cytolysis),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0030547 (receptor inhibitor activity),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0030828 (positive regulation of cGMP biosynthetic process),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0031225 (anchored component of membrane),3,0,-3,-100.0,0.01498276981471308,0.0
GO:0031334 (positive regulation of protein complex assembly),4,0,-4,-100.0,0.01997702641961744,0.0
GO:0031640 (killing of cells of other organism),54,0,-54,-100.0,0.2696898566648354,0.0
GO:0031712 (B1 bradykinin receptor binding),2,0,-2,-100.0,0.00998851320980872,0.0
GO:0044564 (envenomation resulting in occlusion of the pore of voltage-gated potassium channel in other organism),17,0,-17,-100.0,0.08490236228337411,0.0
GO:0044562 (envenomation resulting in negative regulation of voltage-gated potassium channel activity in other organism),7,0,-7,-100.0,0.03495979623433052,0.0
GO:0044555 (negative regulation of heart rate in other organism),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0044554 (modulation of heart rate in other organism),1,0,-1,-100.0,0.00499425660490436,0.0
GO:0010952 (positive regulation of peptidase activity),1,0,-1,-100.0,0.00499425660490436,0.0
