identifier,Protein families,Fragment,Phylum,Habitat,Class,Order
Q9BHA6,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0C666,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9U6Z9,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9U6Z5,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q6PN81,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q1A3R3,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0C636,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9U700,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPF5,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPG5,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BH81,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0C667,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y172,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9U6Z8,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q6PN80,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q1A3Q9,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q6PN84,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPE2,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0C637,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPE5,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPG3,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BH79,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0C668,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q3YEH3,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q6PN83,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0C638,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPE3,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P69767,Conotoxin T superfamily,fragment,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPG2,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q6PN82,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q68IP5,Conotoxin T superfamily,fragment,Mollusca,marine,Gastropoda,Neogastropoda
Q9BP47,Conotoxin T superfamily,fragment,Mollusca,marine,Gastropoda,Neogastropoda
Q1A3R1,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0C639,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
C0KYC3,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPF9,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPD9,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPF7,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q1A3R0,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0C640,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
C0KYC4,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BP46,Conotoxin T superfamily,fragment,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPE1,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q1A3Q8,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0C641,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
C0KYC5,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPE0,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q1A3Q6,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
C0KYC6,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q1A3Q5,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q3YEH2,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q1A3Q7,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPG6,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P58848,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJL6,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q1A3Q1,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P69764,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9U6Z6,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P84845,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P81755,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P69765,Conotoxin T superfamily,fragment,Mollusca,marine,Gastropoda,Neogastropoda
P0C2B0,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P58849,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q1A3Q2,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPE6,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P69768,Conotoxin T superfamily,fragment,Mollusca,marine,Gastropoda,Neogastropoda
P0C2B1,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPE4,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P69766,Conotoxin T superfamily,fragment,Mollusca,marine,Gastropoda,Neogastropoda
C0HKY5,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPH2,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPG1,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPF8,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P86264,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P58807,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPH1,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
B2CS62,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
A0A0F7Z3J2,Other,,Mollusca,marine,Gastropoda,Neogastropoda
A0A0F7YZI5,Other,,Mollusca,marine,Gastropoda,Neogastropoda
Q6PTD0,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q6HAA2,,,Chordata,terrestrial,Lepidosauria,Squamata
P85253,Other,,Arthropoda,terrestrial,Arachnida,Araneae
P85254,Other,,Arthropoda,terrestrial,Arachnida,Araneae
P85255,Other,,Arthropoda,terrestrial,Arachnida,Araneae
P85256,Other,,Arthropoda,terrestrial,Arachnida,Araneae
P85257,Other,,Arthropoda,terrestrial,Arachnida,Araneae
P0CAZ2,Other,,Arthropoda,terrestrial,Arachnida,Araneae
P85258,Other,,Arthropoda,terrestrial,Arachnida,Araneae
P85259,Other,,Arthropoda,terrestrial,Arachnida,Araneae
P0CAZ3,Other,,Arthropoda,terrestrial,Arachnida,Araneae
Q9GV72,Other,,Cnidaria,marine,Cubozoa,Other
A7L035,Other,,Cnidaria,marine,Cubozoa,Other
Q9BPE9,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
C0HJV3,Other,,Arthropoda,terrestrial,Arachnida,Araneae
C0HJV4,Other,,Arthropoda,terrestrial,Arachnida,Araneae
A7L036,Other,,Cnidaria,marine,Cubozoa,Other
C0HJV5,Other,,Arthropoda,terrestrial,Arachnida,Araneae
C0HJV6,Other,,Arthropoda,terrestrial,Arachnida,Araneae
P15222,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
Q9GNN8,Other,,Cnidaria,marine,Cubozoa,Other
P58762,Other,,Cnidaria,marine,Cubozoa,Other
P15220,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P60268,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P60269,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P60270,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P15229,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P85066,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P86402,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P60271,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P83400,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P55966,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
Q9BJW4,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P86436,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P01498,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P59887,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P45639,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P86401,Short scorpion toxin superfamily,fragment,Arthropoda,terrestrial,Arachnida,Scorpiones
Q9UAD0,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P81761,Short scorpion toxin superfamily,,Arthropoda,terrestrial,Arachnida,Scorpiones
P58809,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
B2DCR8,,,Mollusca,marine,Other,Other
D6C4H6,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DM99,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DMA0,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DMB3,Conotoxin M superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0DMA1,Conotoxin M superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y170,,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y169,,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4J9,,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y171,,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y493,,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y494,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D6C4L1,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJB8,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DMA2,Conotoxin O1 superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4K2,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJB9,,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4K3,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJC0,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DMA3,Conotoxin O1 superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4K4,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D6C4K6,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D2Y3T3,,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y3T4,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D2Y3T5,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D2Y3T6,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D2Y3T7,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D2Y3T8,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D6C4L9,,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4M0,,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4M1,,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4M2,,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4M3,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJB6,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJB7,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
F5CEP0,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
G1C1T0,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
G1C1T1,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
G1C1T2,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
G1C1T3,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
P0DJC1,,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y100,,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y101,,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y102,,,Mollusca,marine,Gastropoda,Neogastropoda
J7GY56,Conotoxin O1 superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y168,,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4J4,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D6C4J6,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D6C4J8,,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4I4,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D6C4I5,,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4I6,,,Mollusca,marine,Gastropoda,Neogastropoda
P0CI41,,,Mollusca,marine,Gastropoda,Neogastropoda
D2Y3T1,,,Mollusca,marine,Gastropoda,Neogastropoda
P86942,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJC3,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DMA4,,,Mollusca,marine,Gastropoda,Neogastropoda
D6C4H8,,,Mollusca,marine,Gastropoda,Neogastropoda
D3JWK7,,,Mollusca,marine,Gastropoda,Neogastropoda
D3JWK2,,,Mollusca,marine,Gastropoda,Neogastropoda
D3JWK3,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D3JWK4,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D3JWK5,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D3JWK6,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
P0DM98,,,Mollusca,marine,Gastropoda,Neogastropoda
D3JYA5,,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BP49,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
D3JYA6,,,Mollusca,marine,Gastropoda,Neogastropoda
Q9BPB3,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
P0DJB3,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJB4,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJB5,,,Mollusca,marine,Gastropoda,Neogastropoda
B3FIA6,Other,,Mollusca,marine,Gastropoda,Neogastropoda
B3FIA5,Other,,Mollusca,marine,Gastropoda,Neogastropoda
Q8T0W5,,,Arthropoda,terrestrial,Insecta,Hymenoptera
Q8T0W3,,,Arthropoda,terrestrial,Insecta,Hymenoptera
Q8T0W2,Other,,Arthropoda,terrestrial,Insecta,Hymenoptera
Q8T0W1,,,Arthropoda,terrestrial,Insecta,Hymenoptera
Q8T0W0,,,Arthropoda,terrestrial,Insecta,Hymenoptera
Q8MMH0,,,Arthropoda,terrestrial,Insecta,Hymenoptera
P86500,,,Mollusca,marine,Gastropoda,Neogastropoda
P58625,,,Mollusca,marine,Gastropoda,Neogastropoda
P69770,Other,,Mollusca,marine,Gastropoda,Neogastropoda
B0L0Y6,,,Mollusca,marine,Gastropoda,Neogastropoda
G8FZS4,,fragment,Mollusca,marine,Gastropoda,Neogastropoda
P01527,,,Nemertea,marine,Pilidiophora,Other
P0CE24,Other,,Mollusca,marine,Gastropoda,Neogastropoda
C4PWC4,Other,,Mollusca,marine,Gastropoda,Neogastropoda
C4PWC3,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE34,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE36,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE25,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE31,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE28,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE35,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE32,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE26,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE33,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE29,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE27,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0CE30,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0DKQ7,,,Mollusca,marine,Gastropoda,Neogastropoda
P0DM45,,,Mollusca,marine,Gastropoda,Neogastropoda
P58990,Other,,Mollusca,marine,Gastropoda,Neogastropoda
P0DL31,,,Mollusca,marine,Gastropoda,Neogastropoda
P0CI23,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0CI22,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJC4,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJC5,Conotoxin T superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJC6,Conotoxin O1 superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P0DJC7,Conotoxin O1 superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
Q5I4E6,Other,,Mollusca,marine,Gastropoda,Neogastropoda
B4YSU8,Other,,Mollusca,marine,Gastropoda,Neogastropoda
Q5G8B7,,,Arthropoda,terrestrial,Arachnida,Scorpiones
J3RYX9,Other,,Chordata,terrestrial,Lepidosauria,Squamata
J3SE80,Other,,Chordata,terrestrial,Lepidosauria,Squamata
E3P6N3,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P08935,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q6T6T4,Other,,Chordata,terrestrial,Lepidosauria,Squamata
B1P1J3,Other,,Arthropoda,terrestrial,Arachnida,Araneae
E3P6P1,Other,,Chordata,terrestrial,Lepidosauria,Squamata
E3P6P0,Other,,Chordata,terrestrial,Lepidosauria,Squamata
E3P6P3,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P81714,Other,fragment,Chordata,terrestrial,Lepidosauria,Squamata
E3P6P4,Other,,Chordata,terrestrial,Lepidosauria,Squamata
E3P6P2,Other,,Chordata,terrestrial,Lepidosauria,Squamata
E3P6N5,Other,,Chordata,terrestrial,Lepidosauria,Squamata
E3P6N6,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q2XXN5,Other,,Chordata,terrestrial,Lepidosauria,Squamata
E3P6N8,Other,,Chordata,terrestrial,Lepidosauria,Squamata
E3P6N7,Other,,Chordata,terrestrial,Lepidosauria,Squamata
E3P6N4,Other,,Chordata,terrestrial,Lepidosauria,Squamata
E3P6N9,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P85870,,,Arthropoda,terrestrial,Insecta,Hymenoptera
P0C8B1,,,Chordata,terrestrial,Mammalia,Monotremata
Q95P88,Other,,Arthropoda,terrestrial,Arachnida,Scorpiones
P0CF77,Other,,Arthropoda,terrestrial,Arachnida,Scorpiones
P85887,Other,,Chordata,terrestrial,Amphibia,Anura
P84523,Other,,Chordata,terrestrial,Amphibia,Anura
Q8T0W8,Other,,Arthropoda,terrestrial,Insecta,Other
P83253,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P83254,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q6T6T3,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q3BER2,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q3BK13,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q6T6T2,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q3BER3,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P0C6A8,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q3BER4,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P0C6A4,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P0C6B0,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P83041,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P82465,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P0C6A6,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P83043,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P83044,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P81742,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q805F7,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q805F5,Other,,Chordata,terrestrial,Lepidosauria,Squamata
C9E1S2,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q3BK16,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P0C6A3,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q3BK15,Other,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P0C6B4,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P0C6B5,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P83658,Other,,Chordata,terrestrial,Lepidosauria,Squamata
M5BGY5,Other,,Chordata,terrestrial,Lepidosauria,Squamata
M5BHN0,Other,,Chordata,terrestrial,Lepidosauria,Squamata
M5BGS2,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q5EE07,Other,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q3BK17,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P0C6E2,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q3BER1,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q3BK14,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P83469,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q7ZZM2,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P0CH43,Huwentoxin-1 family,,Arthropoda,terrestrial,Arachnida,Araneae
P82172,,,Chordata,terrestrial,Mammalia,Monotremata
P82140,,,Chordata,terrestrial,Mammalia,Monotremata
P82141,,,Chordata,terrestrial,Mammalia,Monotremata
P0C8B2,,,Chordata,terrestrial,Mammalia,Monotremata
Q75WF2,Other,,Echinodermata,marine,Asteroidea,Other
P0C1B7,Other,,Arthropoda,terrestrial,Arachnida,Scorpiones
P49343,Other,,Arthropoda,terrestrial,Insecta,Hymenoptera
P49344,Other,,Arthropoda,terrestrial,Insecta,Hymenoptera
P0DP97,Huwentoxin-1 family,,Arthropoda,terrestrial,Arachnida,Araneae
B2D0J5,Other,,Arthropoda,terrestrial,Insecta,Hymenoptera
P0CJ37,Other,,Arthropoda,terrestrial,Insecta,Hymenoptera
P0CJ36,Other,,Arthropoda,terrestrial,Insecta,Hymenoptera
P0C931,Other,,Arthropoda,terrestrial,Insecta,Hymenoptera
P0DJ94,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P04203,Other,,Chordata,terrestrial,Lepidosauria,Squamata
C6EVG2,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P04204,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P20394,Other,,Chordata,terrestrial,Lepidosauria,Squamata
C6EVG1,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P26349,Other,,Chordata,terrestrial,Lepidosauria,Squamata
P85029,,,Arthropoda,terrestrial,Arachnida,Araneae
P85145,Other,fragment,Arthropoda,terrestrial,Arachnida,Araneae
P85146,Other,fragment,Arthropoda,terrestrial,Arachnida,Araneae
P85032,Other,,Arthropoda,terrestrial,Arachnida,Araneae
P85237,,fragment,Arthropoda,terrestrial,Arachnida,Araneae
P85144,Other,fragment,Arthropoda,terrestrial,Arachnida,Araneae
P85236,,fragment,Arthropoda,terrestrial,Arachnida,Araneae
Q1L658,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
Q4QXT9,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
Q58L90,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q58L91,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q7SZN0,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q593B6,Other,,Chordata,terrestrial,Lepidosauria,Squamata
Q58L95,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
Q58L96,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
Q56VR3,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
A6MFK7,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
P82807,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
A6MFK8,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
Q58L94,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
B5G6G5,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
P83370,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
P0CY52,Peptidase S1 family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q58L93,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
P81428,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
D8VNS7,Other,,Chordata,marine,Lepidosauria,Squamata
E2IYB3,Other,fragment,Chordata,terrestrial,Lepidosauria,Squamata
D8VNS8,Other,,Chordata,marine,Lepidosauria,Squamata
D8VNS9,Other,,Chordata,marine,Lepidosauria,Squamata
D8VNT0,Other,,Chordata,marine,Lepidosauria,Squamata
P86876,Other,fragment,Annelida,marine,Polychaeta,Other
P86330,,fragment,Annelida,marine,Polychaeta,Other
Q76CA1,,,Cnidaria,marine,Anthozoa,Actiniaria
P43685,Peptidase S1 family,,Chordata,terrestrial,Lepidosauria,Squamata
I1SB07,Conotoxin M superfamily,,Mollusca,marine,Gastropoda,Neogastropoda
P69842,Other,,Chordata,marine,Actinopteri,Perciformes
P69847,Other,,Chordata,marine,Actinopteri,Perciformes
P69837,Other,,Chordata,marine,Actinopteri,Perciformes
P69838,Other,,Chordata,marine,Actinopteri,Perciformes
P69840,Other,,Chordata,marine,Actinopteri,Perciformes
P69835,Other,,Chordata,marine,Actinopteri,Perciformes
P69836,Other,,Chordata,marine,Actinopteri,Perciformes
D2Y2C4,,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2R1,,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2R3,,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2F2,,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2R4,,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2C1,Huwentoxin-1 family,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2H6,Huwentoxin-1 family,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2H7,Huwentoxin-1 family,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2H8,Huwentoxin-1 family,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2A0,Huwentoxin-1 family,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2A1,Huwentoxin-1 family,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2A2,Huwentoxin-1 family,,Arthropoda,terrestrial,Arachnida,Araneae
D2Y2B2,Huwentoxin-1 family,,Arthropoda,terrestrial,Arachnida,Araneae
