identifier,Protein families,Phylum,has_signal_peptide
Q9U619,Conotoxin A superfamily,Mollusca,yes
P85013,Conotoxin A superfamily,Mollusca,yes
A0A3G3C7S9,Conotoxin A superfamily,Mollusca,yes
P0CB08,Conotoxin A superfamily,Mollusca,yes
P0C1W0,Conotoxin A superfamily,Mollusca,yes
P01520,Conotoxin A superfamily,Mollusca,no
Q6PTD4,Conotoxin A superfamily,Mollusca,yes
Q2I2R7,Conotoxin A superfamily,Mollusca,yes
P56636,Conotoxin A superfamily,Mollusca,yes
A6M934,Conotoxin A superfamily,Mollusca,yes
P0DM23,Conotoxin A superfamily,Mollusca,yes
Q6PTD6,Conotoxin A superfamily,Mollusca,yes
P0DPM0,Conotoxin A superfamily,Mollusca,yes
E2DIH5,Conotoxin A superfamily,Mollusca,yes
A0A3G3C7V0,Conotoxin A superfamily,Mollusca,yes
P0C1Y2,Conotoxin A superfamily,Mollusca,yes
Q2I2R6,Conotoxin A superfamily,Mollusca,yes
A0SE59,Conotoxin A superfamily,Mollusca,yes
P0DPM1,Conotoxin A superfamily,Mollusca,yes
E2DIH6,Conotoxin A superfamily,Mollusca,yes
A0A3G3C7U4,Conotoxin A superfamily,Mollusca,yes
P0C8U3,Conotoxin A superfamily,Mollusca,no
A1X8B6,Conotoxin A superfamily,Mollusca,yes
S4UJV1,Conotoxin A superfamily,Mollusca,yes
P0C8U8,Conotoxin A superfamily,Mollusca,yes
P0DPM2,Conotoxin A superfamily,Mollusca,no
A0A3G3C7S0,Conotoxin A superfamily,Mollusca,yes
P0C8U9,Conotoxin A superfamily,Mollusca,yes
D9IWN7,Conotoxin A superfamily,Mollusca,yes
P0CAQ6,Conotoxin A superfamily,Mollusca,yes
A0A3G3C7U1,Conotoxin A superfamily,Mollusca,yes
F2XFS9,Conotoxin A superfamily,Mollusca,yes
P0C8V0,Conotoxin A superfamily,Mollusca,yes
P0DUQ6,Conotoxin A superfamily,Mollusca,yes
A1X8C3,Conotoxin A superfamily,Mollusca,yes
P0CB12,Conotoxin A superfamily,Mollusca,yes
A1X8C2,Conotoxin A superfamily,Mollusca,yes
F5C3U4,Conotoxin A superfamily,Mollusca,yes
P0C901,Conotoxin A superfamily,Mollusca,no
P0C1V7,Conotoxin A superfamily,Mollusca,no
P85886,Conotoxin A superfamily,Mollusca,yes
P56639,Conotoxin A superfamily,Mollusca,yes
P0DL39,Conotoxin A superfamily,Mollusca,no
P69657,Conotoxin A superfamily,Mollusca,yes
P56973,Conotoxin A superfamily,Mollusca,yes
D4HPD6,Conotoxin A superfamily,Mollusca,yes
P56638,Conotoxin A superfamily,Mollusca,yes
P50982,Conotoxin A superfamily,Mollusca,yes
X1WB75,Conotoxin A superfamily,Mollusca,no
P0DL68,Conotoxin A superfamily,Mollusca,no
P0C1W1,Conotoxin A superfamily,Mollusca,no
P0DQQ6,Conotoxin A superfamily,Mollusca,no
P0DQY0,Conotoxin A superfamily,Mollusca,no
P0C1R7,Conotoxin A superfamily,Mollusca,no
P50984,Conotoxin A superfamily,Mollusca,no
S4UJW3,Conotoxin A superfamily,Mollusca,yes
P28878,Conotoxin A superfamily,Mollusca,no
P0DM21,Conotoxin A superfamily,Mollusca,yes
P0CI05,Conotoxin A superfamily,Mollusca,no
P58811,Conotoxin A superfamily,Mollusca,yes
P69747,Conotoxin A superfamily,Mollusca,yes
P0C8V4,Conotoxin A superfamily,Mollusca,no
F5C0A0,Conotoxin A superfamily,Mollusca,yes
P56640,Conotoxin A superfamily,Mollusca,yes
C0HLK1,Conotoxin A superfamily,Mollusca,no
P0C1W2,Conotoxin A superfamily,Mollusca,no
P0DQY1,Conotoxin A superfamily,Mollusca,no
P50985,Conotoxin A superfamily,Mollusca,yes
P0C351,Conotoxin A superfamily,Mollusca,no
P85009,Conotoxin A superfamily,Mollusca,no
P0DPL8,Conotoxin A superfamily,Mollusca,yes
P56641,Conotoxin A superfamily,Mollusca,no
P0C1V8,Conotoxin A superfamily,Mollusca,no
P0C8U4,Conotoxin A superfamily,Mollusca,yes
P0DQQ5,Conotoxin A superfamily,Mollusca,no
C0HLM2,Conotoxin A superfamily,Mollusca,no
P86261,Conotoxin A superfamily,Mollusca,no
P0DKP5,Conotoxin A superfamily,Mollusca,yes
P60274,Conotoxin A superfamily,Mollusca,yes
P85010,Conotoxin A superfamily,Mollusca,no
P0DKP7,Conotoxin A superfamily,Mollusca,yes
P85011,Conotoxin A superfamily,Mollusca,no
P85012,Conotoxin A superfamily,Mollusca,no
C0HJA8,Conotoxin A superfamily,Mollusca,no
P0DKP6,Conotoxin A superfamily,Mollusca,yes
P0C8U6,Conotoxin A superfamily,Mollusca,yes
P0C8U7,Conotoxin A superfamily,Mollusca,yes
P0DPL9,Conotoxin A superfamily,Mollusca,yes
X5I9Y2,Conotoxin A superfamily,Mollusca,yes
P01521,Conotoxin A superfamily,Mollusca,no
A1X8B8,Conotoxin A superfamily,Mollusca,yes
P15471,Conotoxin A superfamily,Mollusca,yes
C0HKF6,Conotoxin A superfamily,Mollusca,yes
A1X8B9,Conotoxin A superfamily,Mollusca,yes
Q9XZK7,Conotoxin A superfamily,Mollusca,yes
P0CY78,Conotoxin A superfamily,Mollusca,yes
P0CY79,Conotoxin A superfamily,Mollusca,yes
P0CY80,Conotoxin A superfamily,Mollusca,yes
P0C830,Conotoxin A superfamily,Mollusca,no
P58782,Conotoxin A superfamily,Mollusca,no
P0C1X1,Conotoxin A superfamily,Mollusca,yes
P69746,Conotoxin A superfamily,Mollusca,no
P0C1W9,Conotoxin A superfamily,Mollusca,no
P55963,Conotoxin A superfamily,Mollusca,yes
P0CE75,Conotoxin A superfamily,Mollusca,yes
P0C828,Conotoxin A superfamily,Mollusca,yes
P58783,Conotoxin A superfamily,Mollusca,no
P0C1W8,Conotoxin A superfamily,Mollusca,no
P0C1X0,Conotoxin A superfamily,Mollusca,no
P0CE76,Conotoxin A superfamily,Mollusca,yes
P0C829,Conotoxin A superfamily,Mollusca,yes
P0DQY7,Conotoxin A superfamily,Mollusca,no
P0C2C5,Conotoxin A superfamily,Mollusca,no
P0C2C6,Conotoxin A superfamily,Mollusca,no
P0DUR2,Conotoxin A superfamily,Mollusca,no
P0DUR1,Conotoxin A superfamily,Mollusca,no
P0DUR0,Conotoxin A superfamily,Mollusca,no
C6ZJQ2,Conotoxin A superfamily,Mollusca,yes
P86362,Conotoxin A superfamily,Mollusca,no
X5I9Z2,Conotoxin A superfamily,Mollusca,yes
X5IFZ1,Conotoxin A superfamily,Mollusca,yes
P0DQR7,Conotoxin A superfamily,Mollusca,no
X5IGW1,Conotoxin A superfamily,Mollusca,yes
Q9BP56,Conotoxin A superfamily,Mollusca,yes
P28879,Conotoxin A superfamily,Mollusca,yes
O77256,Conotoxin A superfamily,Mollusca,yes
P0DP93,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DP94,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0CH41,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q9BH51,Conotoxin M superfamily,Mollusca,yes
Q9BPH4,Conotoxin M superfamily,Mollusca,yes
A0A2I6EDM2,Conotoxin M superfamily,Mollusca,yes
A0A2I6EDN1,Conotoxin M superfamily,Mollusca,yes
P0CY73,Conotoxin M superfamily,Mollusca,yes
A0A2I6EDN2,Conotoxin M superfamily,Mollusca,yes
A0A3G3C7T5,Conotoxin M superfamily,Mollusca,yes
Q9BPH3,Conotoxin M superfamily,Mollusca,yes
A0A2D1P890,Conotoxin M superfamily,Mollusca,yes
A0A125S9E6,Conotoxin M superfamily,Mollusca,yes
Q5I2P0,Conotoxin M superfamily,Mollusca,yes
Q2I2Q5,Conotoxin M superfamily,Mollusca,yes
Q9BPI1,Conotoxin M superfamily,Mollusca,yes
Q5EHP1,Conotoxin M superfamily,Mollusca,yes
P0DKQ9,Conotoxin M superfamily,Mollusca,yes
A0A3G3C7U2,Conotoxin M superfamily,Mollusca,yes
Q5EHP4,Conotoxin M superfamily,Mollusca,yes
Q2I2Q4,Conotoxin M superfamily,Mollusca,yes
Q9BPH5,Conotoxin M superfamily,Mollusca,yes
P0DPL1,Conotoxin M superfamily,Mollusca,no
Q9BPI0,Conotoxin M superfamily,Mollusca,yes
Q9BPH8,Conotoxin M superfamily,Mollusca,yes
Q9BPH6,Conotoxin M superfamily,Mollusca,yes
A0A3G3C7V7,Conotoxin M superfamily,Mollusca,yes
Q2I2Q3,Conotoxin M superfamily,Mollusca,yes
A0A3G3C7U9,Conotoxin M superfamily,Mollusca,yes
Q2I2Q2,Conotoxin M superfamily,Mollusca,yes
P0C1N4,Conotoxin M superfamily,Mollusca,yes
A0A2I6EDL3,Conotoxin M superfamily,Mollusca,yes
Q9BPH9,Conotoxin M superfamily,Mollusca,yes
A0A2I6EDM5,Conotoxin M superfamily,Mollusca,yes
Q5EHP2,Conotoxin M superfamily,Mollusca,yes
A0A2I6EDL6,Conotoxin M superfamily,Mollusca,yes
P0DQV5,Conotoxin M superfamily,Mollusca,no
C1J5M5,Conotoxin M superfamily,Mollusca,yes
P0DTJ4,Conotoxin M superfamily,Mollusca,yes
P0C1T9,Conotoxin M superfamily,Mollusca,no
P0C1U1,Conotoxin M superfamily,Mollusca,no
P01523,Conotoxin M superfamily,Mollusca,yes
P0C1U2,Conotoxin M superfamily,Mollusca,no
P0DMA1,Conotoxin M superfamily,Mollusca,no
P0CH15,Conotoxin M superfamily,Mollusca,no
P58925,Conotoxin M superfamily,Mollusca,yes
A0A2I6EDN5,Conotoxin M superfamily,Mollusca,yes
P0C8V2,Conotoxin M superfamily,Mollusca,no
Q86DU6,Conotoxin M superfamily,Mollusca,yes
Q9BH73,Conotoxin M superfamily,Mollusca,yes
H2BKS9,Conotoxin M superfamily,Mollusca,yes
P0C350,Conotoxin M superfamily,Mollusca,no
H2BK78,Conotoxin M superfamily,Mollusca,yes
C0HKY6,Conotoxin M superfamily,Mollusca,no
C1J5M6,Conotoxin M superfamily,Mollusca,yes
P0C1U0,Conotoxin M superfamily,Mollusca,no
P01524,Conotoxin M superfamily,Mollusca,no
P0CH16,Conotoxin M superfamily,Mollusca,no
P0C8V3,Conotoxin M superfamily,Mollusca,no
P0CE77,Conotoxin M superfamily,Mollusca,no
P85022,Conotoxin M superfamily,Mollusca,no
P85018,Conotoxin M superfamily,Mollusca,no
P85019,Conotoxin M superfamily,Mollusca,no
P85020,Conotoxin M superfamily,Mollusca,no
C0HKY7,Conotoxin M superfamily,Mollusca,no
C1J5M7,Conotoxin M superfamily,Mollusca,yes
P05482,Conotoxin M superfamily,Mollusca,no
P0DPJ2,Conotoxin M superfamily,Mollusca,no
A0A7M4DUE8,Conotoxin M superfamily,Mollusca,no
P0C349,Conotoxin M superfamily,Mollusca,no
P0DKP9,Conotoxin M superfamily,Mollusca,yes
P0C1N1,Conotoxin M superfamily,Mollusca,yes
P0DPJ3,Conotoxin M superfamily,Mollusca,no
H2BKJ0,Conotoxin M superfamily,Mollusca,yes
P0DKQ0,Conotoxin M superfamily,Mollusca,yes
Q5EHP3,Conotoxin M superfamily,Mollusca,yes
P0C7I1,Conotoxin M superfamily,Mollusca,yes
P56529,Conotoxin M superfamily,Mollusca,yes
P0DKQ1,Conotoxin M superfamily,Mollusca,yes
P0C425,Conotoxin M superfamily,Mollusca,yes
P60245,Conotoxin M superfamily,Mollusca,no
C0HKZ1,Conotoxin M superfamily,Mollusca,no
P0DKQ2,Conotoxin M superfamily,Mollusca,yes
P0DPJ5,Conotoxin M superfamily,Mollusca,no
P0C1N6,Conotoxin M superfamily,Mollusca,yes
P0DPJ6,Conotoxin M superfamily,Mollusca,no
P0DQM8,Conotoxin M superfamily,Mollusca,no
P0CG45,Conotoxin M superfamily,Mollusca,no
P0DPJ7,Conotoxin M superfamily,Mollusca,no
P69769,Conotoxin M superfamily,Mollusca,yes
A0A2I6EDL2,Conotoxin M superfamily,Mollusca,yes
P0DQO8,Conotoxin M superfamily,Mollusca,no
P0DPJ8,Conotoxin M superfamily,Mollusca,no
P58926,Conotoxin M superfamily,Mollusca,no
P58927,Conotoxin M superfamily,Mollusca,yes
P0DUR3,Conotoxin M superfamily,Mollusca,no
P0DUR4,Conotoxin M superfamily,Mollusca,no
D6C4L8,Conotoxin M superfamily,Mollusca,yes
A0A125S9E9,Conotoxin M superfamily,Mollusca,yes
P85016,Conotoxin M superfamily,Mollusca,no
P85023,Conotoxin M superfamily,Mollusca,no
D5L5Q7,Conotoxin M superfamily,Mollusca,yes
P85017,Conotoxin M superfamily,Mollusca,no
Q2I2P8,Conotoxin M superfamily,Mollusca,yes
D5KR59,Conotoxin O1 superfamily,Mollusca,yes
D6C4I3,Conotoxin O1 superfamily,Mollusca,yes
J7GY56,Conotoxin O1 superfamily,Mollusca,yes
P0CH14,Conotoxin M superfamily,Mollusca,yes
A6YR20,Conotoxin O1 superfamily,Mollusca,yes
A6YR21,Conotoxin O1 superfamily,Mollusca,yes
A6YR40,Conotoxin O1 superfamily,Mollusca,yes
A6YR42,Conotoxin O1 superfamily,Mollusca,yes
A7LI90,Conotoxin O1 superfamily,Mollusca,yes
A7LI92,Conotoxin O1 superfamily,Mollusca,yes
P0CH39,Conotoxin A superfamily,Mollusca,yes
Q9TWL9,Phospholipase A2 family,Mollusca,no
B2KPN7,Conotoxin M superfamily,Mollusca,yes
A0A5C2A2T2,Phospholipase A2 family,Mollusca,yes
A0A5C1ZXT8,Phospholipase A2 family,Mollusca,yes
A0A5C1ZW08,Phospholipase A2 family,Mollusca,yes
B3SVF1,Conotoxin M superfamily,Mollusca,yes
B3SVF0,Conotoxin M superfamily,Mollusca,yes
P15222,Short scorpion toxin superfamily,Arthropoda,no
P15220,Short scorpion toxin superfamily,Arthropoda,no
P60268,Short scorpion toxin superfamily,Arthropoda,no
P60269,Short scorpion toxin superfamily,Arthropoda,no
P60270,Short scorpion toxin superfamily,Arthropoda,no
P15229,Short scorpion toxin superfamily,Arthropoda,no
P85066,Short scorpion toxin superfamily,Arthropoda,no
P86402,Short scorpion toxin superfamily,Arthropoda,no
F1DI80,Short scorpion toxin superfamily,Arthropoda,no
P83400,Short scorpion toxin superfamily,Arthropoda,yes
P55966,Short scorpion toxin superfamily,Arthropoda,no
Q9BJW4,Short scorpion toxin superfamily,Arthropoda,yes
P86436,Short scorpion toxin superfamily,Arthropoda,no
P01498,Short scorpion toxin superfamily,Arthropoda,no
P81761,Short scorpion toxin superfamily,Arthropoda,yes
P59887,Short scorpion toxin superfamily,Arthropoda,no
P45639,Short scorpion toxin superfamily,Arthropoda,no
Q9UAD0,Short scorpion toxin superfamily,Arthropoda,yes
P0DMB3,Conotoxin M superfamily,Mollusca,no
P0DQN8,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P0DQN9,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
A0A1L4BJ98,Arthropod phospholipase D family,Arthropoda,yes
Q202J4,Arthropod phospholipase D family,Arthropoda,yes
P0DP97,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
Q1L658,Peptidase S1 family,Chordata,yes
Q4QXT9,Peptidase S1 family,Chordata,yes
Q58L95,Peptidase S1 family,Chordata,yes
Q58L96,Peptidase S1 family,Chordata,yes
Q56VR3,Peptidase S1 family,Chordata,yes
A6MFK7,Peptidase S1 family,Chordata,yes
P82807,Peptidase S1 family,Chordata,yes
A6MFK8,Peptidase S1 family,Chordata,yes
Q58L94,Peptidase S1 family,Chordata,yes
B5G6G5,Peptidase S1 family,Chordata,yes
P83370,Peptidase S1 family,Chordata,yes
Q58L93,Peptidase S1 family,Chordata,yes
P81428,Peptidase S1 family,Chordata,yes
P83298,Peptidase S1 family,Annelida,no
P43685,Peptidase S1 family,Chordata,no
I1SB07,Conotoxin M superfamily,Mollusca,no
D2Y2C1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2H6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2H7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2H8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2B2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2B3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2B4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2B5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2H5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2A9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2B0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2B1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2H3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2H4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1X6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1X7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1X8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1X9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Y0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Y1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Y2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Y3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Z4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Z7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Z8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2D1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2D2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2D3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2I3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Y4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Y5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Z3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Z5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Z6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Y6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Y7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Y8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Y9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Z0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Z1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Z2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y1Z9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y200,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y201,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y202,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y203,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2I5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2I6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y232,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y233,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2D7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y234,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y235,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2C3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y240,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y241,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y242,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y243,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y248,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y249,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y250,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2G3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2G4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2G5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2G6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2M1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2M4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2M5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2M6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2M8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2N0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2N1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2N4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y244,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y246,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y247,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2G7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2G8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2G9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2M0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2M2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2M3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2M9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2N2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2N3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2N5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2N6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2N7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y236,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2E8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2E9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2F0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y237,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y239,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2L7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y238,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2F1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2L5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
D2Y2L8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
A0A0J9X1W9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
A0A1L4BJ46,Phospholipase A2 family,Arthropoda,yes
P0DL57,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
P0DL58,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
P0CH70,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0CH72,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DL64,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B3EWN2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B3EWN3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DPM4,Conotoxin O1 superfamily,Mollusca,yes
W4VRV4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
W4VSI9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
W4VSC0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
W4VS49,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
P59888,Phospholipase A2 family,Arthropoda,no
Q9TXD8,Peptidase S1 family,Arthropoda,no
P0C247,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1E1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1E0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1E2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1E3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1D9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1C4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1C6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1C9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1D0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1C8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1C0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1C1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1D2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1G9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1H0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B1P1E6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1E7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1E5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1F4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1F3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
P0CH56,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1F9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1F8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1G2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1G0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1G3,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1G1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1G6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1G7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
P0CH50,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0CH51,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0CH52,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B1P1I7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
