identifier,Protein families,Phylum,has_fragment
Q9PUH9,Phospholipase A2 family,Chordata,no
P59171,Phospholipase A2 family,Chordata,no
P59172,Phospholipase A2 family,Chordata,no
O42189,Phospholipase A2 family,Chordata,no
Q8UW31,Phospholipase A2 family,Chordata,no
Q5G291,Phospholipase A2 family,Chordata,yes
P82896,Phospholipase A2 family,Chordata,no
Q45Z26,Phospholipase A2 family,Chordata,no
A8CG90,Phospholipase A2 family,Chordata,no
P0C943,Phospholipase A2 family,Chordata,no
P10116,Phospholipase A2 family,Chordata,no
P00603,Phospholipase A2 family,Chordata,no
P0DKU4,Phospholipase A2 family,Chordata,yes
P08873,Phospholipase A2 family,Chordata,no
P0DJJ9,Phospholipase A2 family,Chordata,no
P0DKR5,Phospholipase A2 family,Chordata,no
Q6EER3,Phospholipase A2 family,Chordata,no
P82893,Phospholipase A2 family,Chordata,yes
Q1RP78,Phospholipase A2 family,Chordata,no
P20474,Phospholipase A2 family,Chordata,no
P0DQQ0,Phospholipase A2 family,Chordata,no
B3A0N3,Phospholipase A2 family,Chordata,yes
Q6SLM0,Phospholipase A2 family,Chordata,yes
P00629,Phospholipase A2 family,Chordata,yes
P0DJN5,Phospholipase A2 family,Chordata,yes
P0DJN7,Phospholipase A2 family,Chordata,yes
P86368,Phospholipase A2 family,Chordata,no
P00612,Phospholipase A2 family,Chordata,no
P70090,Phospholipase A2 family,Chordata,no
P70089,Phospholipase A2 family,Chordata,no
P0C616,Phospholipase A2 family,Chordata,no
C0HJW8,Phospholipase A2 family,Chordata,yes
P29601,Phospholipase A2 family,Chordata,no
Q2YHJ9,Phospholipase A2 family,Chordata,no
P18998,Phospholipase A2 family,Chordata,no
Q6EAN6,Phospholipase A2 family,Chordata,no
P04084,Phospholipase A2 family,Chordata,no
P0DKL7,Phospholipase A2 family,Chordata,yes
P86524,Phospholipase A2 family,Chordata,yes
C0HKC1,Phospholipase A2 family,Chordata,no
P04361,Phospholipase A2 family,Chordata,no
C0HKC2,Phospholipase A2 family,Chordata,no
P86453,Phospholipase A2 family,Chordata,no
P86975,Phospholipase A2 family,Chordata,no
Q9PVF3,Phospholipase A2 family,Chordata,no
Q8UVU7,Phospholipase A2 family,Chordata,no
Q2YHJ4,Phospholipase A2 family,Chordata,no
Q2YHJ8,Phospholipase A2 family,Chordata,no
J3SEZ3,Other,Chordata,no
P0DQN1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DQN2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
W4VSC2,Other,Arthropoda,no
A0A6B9L3U7,Other,Arthropoda,no
A0A6B9KZ66,Other,Arthropoda,no
A0A6B9L1H0,Other,Arthropoda,no
A0A6B9L1F0,,Arthropoda,no
A0A8U0LTY4,,Arthropoda,no
P84676,,Arthropoda,yes
P60264,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P84677,,Arthropoda,yes
P59899,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q56TT9,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q7M463,,Arthropoda,no
Q7Z0F1,,Arthropoda,no
Q7Z0H4,,Arthropoda,no
C0HLZ2,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C9X4J9,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C0HM43,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C9X4K0,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C9X4K1,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P0C1X7,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C9X4K3,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C9X4K4,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C9X4J8,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C9X4K6,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C9X4K7,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q68PG5,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q1I176,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
H1ZZH9,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C0HLZ1,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q68PG4,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P0CF76,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
Q1I173,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
H1ZZI0,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q68PG3,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P63019,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
E7CLN6,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
Q1I172,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
O77463,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q7Z1K7,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
E7D082,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q7YT61,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q7Z1K6,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
M1J7U4,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P01482,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P04097,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
C0HMA7,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q68PH0,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
C0HM18,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P45663,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P58779,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C0HMC2,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P01481,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P0C5K8,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q1I169,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P84693,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
H1ZZI6,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P46115,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
B5U6Y6,Other,Chordata,no
B5U6Y7,Other,Chordata,no
Q9PSM6,Other,Chordata,no
Q9PSM5,Other,Chordata,no
P0C8J2,Other,Chordata,yes
P0C8J3,Other,Chordata,yes
Q6X5T5,Other,Chordata,no
C0HJQ0,Other,Chordata,yes
Q719L9,Other,Chordata,no
Q6X5S9,Other,Chordata,no
Q6X5T0,Other,Chordata,no
Q6X5S3,Other,Chordata,no
B0VXV0,Other,Chordata,no
Q6X5S5,Other,Chordata,yes
Q71RQ1,Other,Chordata,no
Q71RQ0,Other,Chordata,no
Q71RP9,Other,Chordata,no
Q71RP8,Other,Chordata,no
P0C8I9,Other,Chordata,yes
Q56EB0,Other,Chordata,no
Q9DEF8,Other,Chordata,no
B4XSY6,Other,Chordata,no
Q8AV98,Other,Chordata,no
B4XSY7,Other,Chordata,no
B4XSY8,Other,Chordata,no
B4XSY9,Other,Chordata,no
I7JUQ0,Other,Chordata,no
I7ICN3,Other,Chordata,no
P81798,Other,Chordata,yes
Q9DG39,Other,Chordata,no
Q9I841,Other,Chordata,no
P0DMH1,Other,Chordata,yes
Q719L8,Other,Chordata,no
C0HL88,Other,Chordata,yes
E7CLP5,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P68725,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P68726,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P0DUU1,,Mollusca,no
P84018,Other,Arthropoda,no
A0A1D0BZF5,Other,Arthropoda,no
Q5Y4Y4,Other,Arthropoda,no
Q5Y4Y3,Other,Arthropoda,no
G3LU44,Other,Arthropoda,no
U3EQ60,Other,Chordata,no
A0A1D0BRB6,,Arthropoda,no
P0DN60,Other,Mollusca,no
P0CI09,,Mollusca,no
P0DN42,Other,Mollusca,no
P0DN43,Other,Mollusca,no
A0A1D0BZZ2,Other,Arthropoda,no
P0C2L8,Other,Arthropoda,no
A0A1D0C023,,Arthropoda,no
P0DMQ4,Other,Arthropoda,no
P82227,Other,Arthropoda,no
P82226,Other,Arthropoda,no
P85079,Other,Arthropoda,no
A9XDG0,Other,Arthropoda,no
A9XDG1,Other,Arthropoda,no
A5A3H4,Other,Arthropoda,no
S0F1N0,Other,Arthropoda,no
P81598,Other,Arthropoda,no
A5A3H5,Other,Arthropoda,no
S0F204,Other,Arthropoda,no
P81599,Other,Arthropoda,no
S0F215,Other,Arthropoda,no
Q9BJV9,Other,Arthropoda,no
P0DX99,Other,Arthropoda,no
P15969,Other,Arthropoda,no
P15970,Other,Arthropoda,yes
P15971,Other,Arthropoda,yes
P33034,Other,Arthropoda,no
P81744,Other,Arthropoda,no
P81745,Other,Arthropoda,yes
P81746,Other,Arthropoda,yes
Q9BJV8,Other,Arthropoda,no
P82852,Other,Arthropoda,no
Q9BJV7,Other,Arthropoda,no
Q9BJW0,Other,Arthropoda,no
B6DCN9,Other,Arthropoda,no
B6DCP0,Other,Arthropoda,no
B6DCP1,Other,Arthropoda,no
B6DCP2,Other,Arthropoda,no
B6DCP3,Other,Arthropoda,no
B6DCP4,Other,Arthropoda,no
B6DCP5,Other,Arthropoda,no
P0DSJ8,Other,Arthropoda,no
A0A348G5W1,Other,Arthropoda,no
P0DSJ9,Other,Arthropoda,no
A0A6M3Z4L2,,Arthropoda,no
P0DL72,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DJA9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DL73,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DSK1,Other,Arthropoda,no
A0A348G5W2,Other,Arthropoda,no
B3FIQ7,Other,Arthropoda,no
P83997,Other,Arthropoda,no
P36983,Other,Arthropoda,no
P0C296,Other,Arthropoda,no
P0DJ96,,Chordata,no
P83998,Other,Arthropoda,no
P30288,Other,Arthropoda,no
P37045,Other,Arthropoda,no
P0C297,Other,Arthropoda,no
B6DD52,Other,Arthropoda,no
Q75WH3,Other,Arthropoda,no
B6DD53,Other,Arthropoda,no
P84017,Other,Arthropoda,no
P86418,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B6DCZ0,Other,Arthropoda,no
A0A023VZR2,Other,Arthropoda,no
B6DCZ1,Other,Arthropoda,no
B6DCZ2,Other,Arthropoda,no
B6DCZ3,Other,Arthropoda,no
B6DCZ4,Other,Arthropoda,no
B6DCZ5,Other,Arthropoda,no
B6DCZ6,Other,Arthropoda,no
B6DCZ7,Other,Arthropoda,no
B6DCZ8,Other,Arthropoda,no
B6DCZ9,Other,Arthropoda,no
B6DD00,Other,Arthropoda,no
B6DD01,Other,Arthropoda,no
A0A023W0B6,Other,Arthropoda,no
A0A023W168,Other,Arthropoda,no
A0A023W0W9,Other,Arthropoda,no
A0A023W157,Other,Arthropoda,no
A0A023W0V9,Other,Arthropoda,no
A0A023W0C3,Other,Arthropoda,no
A0A023W163,Other,Arthropoda,no
P0DQB0,Other,Arthropoda,no
I6S390,Other,Arthropoda,no
I6RU37,Other,Arthropoda,no
P0DPC2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P83258,Other,Arthropoda,no
P01478,Other,Arthropoda,no
B6DD34,Other,Arthropoda,no
B6DD35,Other,Arthropoda,no
B6DD36,Other,Arthropoda,no
B6DD37,Other,Arthropoda,no
B6DD38,Other,Arthropoda,no
B6DD39,Other,Arthropoda,no
P0DQB4,Other,Arthropoda,no
P0DQB5,Other,Arthropoda,no
P0DQB3,Other,Arthropoda,no
B6DD40,Other,Arthropoda,no
B6DD41,Other,Arthropoda,no
B6DD42,Other,Arthropoda,no
B6DD43,Other,Arthropoda,no
B6DD44,Other,Arthropoda,no
A0A4V8GZX0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0C352,,Mollusca,no
P58804,,Mollusca,no
P0CH18,,Mollusca,no
D6C4K2,,Mollusca,no
P0DJB9,,Mollusca,no
D6C4K3,,Mollusca,no
P0DJC0,,Mollusca,no
P0DMA3,Conotoxin O1 superfamily,Mollusca,no
D6C4K4,,Mollusca,yes
P15472,,Mollusca,no
D6C4K6,,Mollusca,yes
P58845,,Mollusca,no
P83301,,Mollusca,no
P0DPV7,Other,Arthropoda,no
P0DPV8,Other,Arthropoda,no
P0DPV9,Other,Arthropoda,no
P0DPW0,Other,Arthropoda,no
P35775,Other,Arthropoda,no
P35776,Other,Arthropoda,no
A5X2H7,Other,Arthropoda,no
P0DSI3,Other,Arthropoda,no
P35778,Other,Arthropoda,no
P35779,Other,Arthropoda,no
Q9NH75,Other,Arthropoda,no
P0DRB8,Other,Arthropoda,no
B1A4F7,Other,Arthropoda,no
D2Y2F8,Venom Kunitz-type family,Arthropoda,no
P0CAR0,Venom Kunitz-type family,Chordata,yes
B2ZBB9,Venom Kunitz-type family,Arthropoda,no
B2ZBC0,Venom Kunitz-type family,Arthropoda,no
P84471,Venom Kunitz-type family,Chordata,yes
B2KTG2,Venom Kunitz-type family,Chordata,no
P00987,Venom Kunitz-type family,Chordata,no
D2Y2F9,Venom Kunitz-type family,Arthropoda,no
P00979,Venom Kunitz-type family,Chordata,no
Q6ITC1,Venom Kunitz-type family,Chordata,no
P84473,Venom Kunitz-type family,Chordata,yes
B2KTG3,Venom Kunitz-type family,Chordata,no
P00989,Venom Kunitz-type family,Chordata,no
Q75S50,Venom Kunitz-type family,Chordata,no
Q9W728,Venom Kunitz-type family,Chordata,no
Q75S49,Venom Kunitz-type family,Chordata,yes
Q1RPT0,Venom Kunitz-type family,Chordata,no
Q1RPS9,Venom Kunitz-type family,Chordata,no
Q1RPS8,Venom Kunitz-type family,Chordata,no
P31989,Venom metalloproteinase (M12B) family,Chordata,yes
P0C6E4,Venom metalloproteinase (M12B) family,Chordata,no
Q0NZX6,Venom metalloproteinase (M12B) family,Chordata,yes
P83912,Venom metalloproteinase (M12B) family,Chordata,no
Q7ZZS9,Venom metalloproteinase (M12B) family,Chordata,no
Q98995,Venom metalloproteinase (M12B) family,Chordata,no
Q698K8,Venom metalloproteinase (M12B) family,Chordata,yes
P0C7A7,Venom metalloproteinase (M12B) family,Chordata,no
P0C7A8,Venom metalloproteinase (M12B) family,Chordata,no
Q9IAX6,Venom metalloproteinase (M12B) family,Chordata,yes
O73795,Venom metalloproteinase (M12B) family,Chordata,no
Q9YI19,Venom metalloproteinase (M12B) family,Chordata,no
Q9PVK9,Venom metalloproteinase (M12B) family,Chordata,no
P0C6R5,Venom metalloproteinase (M12B) family,Chordata,no
Q14FJ4,Venom metalloproteinase (M12B) family,Chordata,no
P0C6R6,Venom metalloproteinase (M12B) family,Chordata,no
E9NW26,Venom metalloproteinase (M12B) family,Chordata,no
E9NW27,Venom metalloproteinase (M12B) family,Chordata,no
E9NW28,Venom metalloproteinase (M12B) family,Chordata,yes
P0C6R7,Venom metalloproteinase (M12B) family,Chordata,no
P0DX30,Other,Arthropoda,no
A8QL57,Peptidase S1 family,Chordata,yes
O13059,Peptidase S1 family,Chordata,no
J3S3W5,Peptidase S1 family,Chordata,no
Q8QHK3,Peptidase S1 family,Chordata,no
P0DKX2,Peptidase S1 family,Chordata,yes
A0A0S4FKT4,Peptidase S1 family,Chordata,no
P86530,Peptidase S1 family,Chordata,yes
Q9I8X2,Peptidase S1 family,Chordata,no
P81176,Peptidase S1 family,Chordata,no
P85109,Peptidase S1 family,Chordata,no
Q9YGJ2,Peptidase S1 family,Chordata,no
Q91053,Peptidase S1 family,Chordata,no
E0Y418,Peptidase S1 family,Chordata,no
A8QL53,Peptidase S1 family,Chordata,yes
A8QL56,Peptidase S1 family,Chordata,no
P20005,Peptidase S1 family,Chordata,yes
P84788,Peptidase S1 family,Chordata,no
P05620,Peptidase S1 family,Chordata,no
P0DMH5,Peptidase S1 family,Chordata,yes
P0DMH6,Peptidase S1 family,Chordata,yes
Q8QG86,Peptidase S1 family,Chordata,no
U5YCR8,Peptidase S1 family,Chordata,yes
P0DKY5,Peptidase S1 family,Chordata,yes
Q2QA04,Peptidase S1 family,Chordata,no
P0DJG6,Peptidase S1 family,Chordata,yes
B5U6Y3,Peptidase S1 family,Chordata,no
Q072L7,Peptidase S1 family,Chordata,no
P86545,Peptidase S1 family,Chordata,yes
Q09GK1,Peptidase S1 family,Chordata,no
P0DM43,Peptidase S1 family,Chordata,yes
E5AJX2,Peptidase S1 family,Chordata,no
P84746,,Chordata,no
P84747,,Chordata,no
P84745,,Chordata,no
P60589,Other,Chordata,no
A0A7M7H308,Other,Arthropoda,no
P0DQZ3,Other,Arthropoda,no
P80156,Snake three-finger toxin family,Chordata,no
Q53B58,Snake three-finger toxin family,Chordata,no
Q53B57,Snake three-finger toxin family,Chordata,no
Q53B56,Snake three-finger toxin family,Chordata,no
P25673,Snake three-finger toxin family,Chordata,no
P80965,Snake three-finger toxin family,Chordata,no
P82662,Snake three-finger toxin family,Chordata,no
F8J2E1,Snake three-finger toxin family,Chordata,no
F8J2E2,Snake three-finger toxin family,Chordata,no
C0HM09,Snake three-finger toxin family,Chordata,no
O42257,Snake three-finger toxin family,Chordata,no
P86522,Snake three-finger toxin family,Chordata,yes
Q7T3J2,Snake three-finger toxin family,Chordata,no
D2N116,Snake three-finger toxin family,Chordata,yes
P0C8R7,Snake three-finger toxin family,Chordata,no
P0C8R8,Snake three-finger toxin family,Chordata,no
P13495,Snake three-finger toxin family,Chordata,no
P34073,Snake three-finger toxin family,Chordata,no
P14612,Snake three-finger toxin family,Chordata,no
Q7T2I3,Snake three-finger toxin family,Chordata,yes
P86096,Snake three-finger toxin family,Chordata,no
A5X2W8,Snake three-finger toxin family,Chordata,no
A7X6J0,Snake three-finger toxin family,Chordata,no
P86423,Snake three-finger toxin family,Chordata,no
P86098,Snake three-finger toxin family,Chordata,no
P86424,Snake three-finger toxin family,Chordata,no
P86099,Snake three-finger toxin family,Chordata,no
A7X6I4,Snake three-finger toxin family,Chordata,no
P01419,Snake three-finger toxin family,Chordata,no
P60311,Snake three-finger toxin family,Chordata,no
P60306,Snake three-finger toxin family,Chordata,no
P60307,Snake three-finger toxin family,Chordata,no
P60308,Snake three-finger toxin family,Chordata,no
P60309,Snake three-finger toxin family,Chordata,no
P0C944,Snake three-finger toxin family,Chordata,yes
P80245,Snake three-finger toxin family,Chordata,no
P0DSN1,Snake three-finger toxin family,Chordata,no
Q91135,Snake three-finger toxin family,Chordata,no
P83345,Snake three-finger toxin family,Chordata,no
Q91136,Snake three-finger toxin family,Chordata,no
P07525,Snake three-finger toxin family,Chordata,no
B3EWR3,Snake three-finger toxin family,Chordata,yes
P01471,Snake three-finger toxin family,Chordata,no
P24776,Snake three-finger toxin family,Chordata,no
P24777,Snake three-finger toxin family,Chordata,no
P0DQH3,Snake three-finger toxin family,Chordata,yes
P0DQH4,Snake three-finger toxin family,Chordata,yes
B3EWH9,Snake three-finger toxin family,Chordata,no
Q2VBN5,Snake three-finger toxin family,Chordata,no
C0JAX7,Arthropod phospholipase D family,Arthropoda,yes
C0JAX9,Arthropod phospholipase D family,Arthropoda,yes
C0JAY0,Arthropod phospholipase D family,Arthropoda,yes
C0JAX2,Arthropod phospholipase D family,Arthropoda,yes
C0JAZ1,Arthropod phospholipase D family,Arthropoda,yes
C0JAZ2,Arthropod phospholipase D family,Arthropoda,yes
C0JAZ3,Arthropod phospholipase D family,Arthropoda,yes
C0JB03,Arthropod phospholipase D family,Arthropoda,yes
C0JAZ4,Arthropod phospholipase D family,Arthropoda,yes
C0JAZ5,Arthropod phospholipase D family,Arthropoda,yes
C0JAZ6,Arthropod phospholipase D family,Arthropoda,yes
C0JAZ7,Arthropod phospholipase D family,Arthropoda,yes
C0JAZ8,Arthropod phospholipase D family,Arthropoda,yes
C0JB00,Arthropod phospholipase D family,Arthropoda,yes
C0JB01,Arthropod phospholipase D family,Arthropoda,yes
C0JB02,Arthropod phospholipase D family,Arthropoda,yes
C0JAZ9,Arthropod phospholipase D family,Arthropoda,yes
K9USW8,Arthropod phospholipase D family,Arthropoda,no
C0JB04,Arthropod phospholipase D family,Arthropoda,yes
Q1KY80,Arthropod phospholipase D family,Arthropoda,no
C0JB11,Arthropod phospholipase D family,Arthropoda,yes
C0JB09,Arthropod phospholipase D family,Arthropoda,yes
E5D3Z8,Arthropod phospholipase D family,Arthropoda,no
E5D3Z9,Arthropod phospholipase D family,Arthropoda,yes
Q1KY79,Arthropod phospholipase D family,Arthropoda,no
Q8I913,Arthropod phospholipase D family,Arthropoda,no
C0JB12,Arthropod phospholipase D family,Arthropoda,yes
C0JB13,Arthropod phospholipase D family,Arthropoda,yes
P0CH48,,Arthropoda,no
P0CF39,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
A0A1W6EVM7,,Arthropoda,no
A0A1W6EVN2,,Arthropoda,no
A0A1W6EVN4,,Arthropoda,no
A0A3G5BIB4,Other,Arthropoda,no
A0A3G5BIB1,Other,Arthropoda,no
C0JB68,Arthropod phospholipase D family,Arthropoda,yes
C0JB67,Arthropod phospholipase D family,Arthropoda,yes
C0JB60,Arthropod phospholipase D family,Arthropoda,yes
C0JB58,Arthropod phospholipase D family,Arthropoda,yes
C0JB61,Arthropod phospholipase D family,Arthropoda,yes
C0JB62,Arthropod phospholipase D family,Arthropoda,yes
C0JB65,Arthropod phospholipase D family,Arthropoda,yes
C0JB69,Arthropod phospholipase D family,Arthropoda,yes
C0JB56,Arthropod phospholipase D family,Arthropoda,yes
C0JB57,Arthropod phospholipase D family,Arthropoda,yes
C0JB70,Arthropod phospholipase D family,Arthropoda,yes
C0JB76,Arthropod phospholipase D family,Arthropoda,yes
C0JB77,Arthropod phospholipase D family,Arthropoda,yes
C0JB78,Arthropod phospholipase D family,Arthropoda,yes
C0JB79,Arthropod phospholipase D family,Arthropoda,yes
C0JB71,Arthropod phospholipase D family,Arthropoda,yes
C0JB72,Arthropod phospholipase D family,Arthropoda,yes
C0JB73,Arthropod phospholipase D family,Arthropoda,yes
C0JB74,Arthropod phospholipase D family,Arthropoda,yes
C0JB75,Arthropod phospholipase D family,Arthropoda,yes
P0C1B6,Other,Arthropoda,no
P0DM70,Other,Arthropoda,no
P0DM71,Other,Arthropoda,no
P83661,,Arthropoda,no
A1X8D9,Other,Mollusca,yes
P0DPM1,Other,Mollusca,no
E2DIH6,Other,Mollusca,no
P0CAQ8,Other,Mollusca,yes
P0CAQ9,Other,Mollusca,yes
A0A3G3C7U4,Other,Mollusca,no
P0C8U3,Other,Mollusca,no
A1X8B6,Other,Mollusca,no
S4UJV1,Other,Mollusca,no
P0C8U5,Other,Mollusca,yes
P0C8U8,Other,Mollusca,no
P0DPM2,Other,Mollusca,no
P60978,Other,Arthropoda,no
J7JU64,Other,Mollusca,no
A0A125S9D9,Other,Mollusca,no
P17684,Other,Mollusca,no
D6C4J0,Other,Mollusca,no
D6C4I7,Other,Mollusca,no
P0DKQ9,Other,Mollusca,no
A0A3G3C7U2,Other,Mollusca,no
Q5EHP4,Other,Mollusca,no
Q2I2Q4,Other,Mollusca,no
Q9BPH5,Other,Mollusca,no
P0DPL1,Other,Mollusca,no
Q9BPI0,Other,Mollusca,no
Q9BPH8,Other,Mollusca,no
Q9BPH6,Other,Mollusca,no
A0A3G3C7V7,Other,Mollusca,no
Q2I2Q3,Other,Mollusca,no
A0A3G3C7U9,Other,Mollusca,no
Q2I2Q2,Other,Mollusca,no
Q9BP43,Other,Mollusca,yes
P0C1N4,Other,Mollusca,no
P0CH23,Other,Mollusca,yes
A0A2I6EDL3,Other,Mollusca,no
Q9BPH9,Other,Mollusca,no
P0CH21,Other,Mollusca,yes
A0A2I6EDM5,Other,Mollusca,no
Q2I2P1,Other,Mollusca,no
Q2I2P2,Other,Mollusca,no
P0DRC4,,Mollusca,no
P0CY84,Other,Mollusca,no
P0DUC5,Other,Mollusca,no
A0A1P8NVS9,Other,Mollusca,no
A0A1P8NVT3,Other,Mollusca,no
X5IFY8,Other,Mollusca,no
P0C249,Other,Mollusca,no
P0DUC3,Other,Mollusca,no
A0A0K8TU78,Other,Mollusca,yes
A0A1P8NVS3,Other,Mollusca,no
A0A1P8NVU1,Other,Mollusca,yes
P62903,Other,Mollusca,no
P58786,Other,Mollusca,no
P58787,Other,Mollusca,no
P0C837,Other,Mollusca,no
P83047,Other,Mollusca,no
F5C3T9,Other,Mollusca,no
P0DP18,Other,Mollusca,no
P0DUC4,Other,Mollusca,no
V5V9Y7,Other,Mollusca,no
V5V893,Other,Mollusca,no
P85099,Other,Chordata,yes
Q8JI39,Other,Chordata,no
Q7ZZN9,Other,Chordata,no
P79845,Other,Chordata,no
Q8AVA4,Other,Chordata,no
Q8AVA3,Other,Chordata,no
Q3SB05,Other,Chordata,no
Q8JGT9,Other,Chordata,no
B0VXV6,Other,Chordata,no
Q2XXP5,Other,Chordata,yes
A0A218QX58,Other,Arthropoda,no
Q2XXP4,Other,Chordata,yes
W4VS53,Other,Arthropoda,no
P81995,Other,Chordata,yes
P60623,Other,Chordata,yes
P81994,Other,Chordata,yes
B7FDI1,Other,Chordata,no
B7FDI0,Other,Chordata,yes
A0A0F7Z3J2,Other,Mollusca,no
A0A0F7YZI5,Other,Mollusca,no
P15220,Short scorpion toxin superfamily,Arthropoda,no
P60268,Short scorpion toxin superfamily,Arthropoda,no
P60269,Short scorpion toxin superfamily,Arthropoda,no
P60270,Short scorpion toxin superfamily,Arthropoda,no
P15229,Short scorpion toxin superfamily,Arthropoda,no
P85066,Short scorpion toxin superfamily,Arthropoda,no
P86402,Short scorpion toxin superfamily,Arthropoda,no
P60271,Short scorpion toxin superfamily,Arthropoda,yes
F1DI80,Short scorpion toxin superfamily,Arthropoda,no
P83400,Short scorpion toxin superfamily,Arthropoda,no
P55966,Short scorpion toxin superfamily,Arthropoda,no
Q9BJW4,Short scorpion toxin superfamily,Arthropoda,no
P86436,Short scorpion toxin superfamily,Arthropoda,no
P01498,Short scorpion toxin superfamily,Arthropoda,no
P81761,Short scorpion toxin superfamily,Arthropoda,no
P59887,Short scorpion toxin superfamily,Arthropoda,no
P45639,Short scorpion toxin superfamily,Arthropoda,no
P86401,Short scorpion toxin superfamily,Arthropoda,yes
Q9UAD0,Short scorpion toxin superfamily,Arthropoda,no
P0CE24,Other,Mollusca,no
P0DM45,,Mollusca,no
P58990,Other,Mollusca,no
P0DL31,,Mollusca,no
A0A125S9G0,,Mollusca,no
A0A0R4I952,,Mollusca,no
Q3BK17,Other,Chordata,no
P0C6E2,Other,Chordata,no
Q3BER1,Other,Chordata,no
Q3BK14,Other,Chordata,no
P83469,Other,Chordata,no
Q7ZZM2,Other,Chordata,no
P0DUV1,Other,Arthropoda,no
P0DQJ4,,Arthropoda,no
D2Y253,Other,Arthropoda,no
D2Y254,Other,Arthropoda,no
D2Y255,Other,Arthropoda,no
D2Y256,Other,Arthropoda,no
D2Y257,Other,Arthropoda,no
D2Y258,Other,Arthropoda,no
D2Y259,Other,Arthropoda,no
D2Y260,Other,Arthropoda,no
D2Y261,Other,Arthropoda,no
D2Y271,Other,Arthropoda,no
D2Y2P8,Other,Arthropoda,no
D2Y272,Other,Arthropoda,no
D2Y273,Other,Arthropoda,no
D2Y274,Other,Arthropoda,no
D2Y275,Other,Arthropoda,no
D2Y276,Other,Arthropoda,no
D2Y277,Other,Arthropoda,no
D2Y278,Other,Arthropoda,no
D2Y279,Other,Arthropoda,no
D2Y280,Other,Arthropoda,no
A3QVN2,Other,Chordata,no
A3QVN6,Other,Chordata,no
R4J7Z9,Other,Arthropoda,no
P86274,Other,Arthropoda,yes
P0C8X3,Other,Arthropoda,yes
P69496,Other,Mollusca,no
